"accession","length","host","protein","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"AKT08161","566","Human","HA","H1N1","USA","N","2014/01/14","Influenza A virus (A/Alaska/02/2014(H1N1))","","","","","","c"
"AQS19848","759","Human","PB2","H3N2","USA","N","2017/01/11","Influenza A virus (A/Alaska/02/2017(H3N2))","E627K","","","","","c"
"AQS19849","757","Human","PB1","H3N2","USA","N","2017/01/11","Influenza A virus (A/Alaska/02/2017(H3N2))","","","","","","c"
"AVR41676","759","Human","PB2","H3N2","USA","N","2018/01/15","Influenza A virus (A/Alaska/02/2018(H3N2))","E627K","","","","","c"
"QBM03168","566","Human","","H1N1","USA","N","2019/01/07","Influenza A virus (A/Alaska/02/2019)","","","","","","c"
"ACD47240","565","Human","HA","H1N1","USA","N","2008/01/18","Influenza A virus (A/Alaska/03/2008(H1N1))","","","","","","c"
"ACU44373","565","Human","HA","H1N1","USA","N","2009/03/20","Influenza A virus (A/Alaska/03/2009(H1N1))","","","","","","c"
"AGF68882","566","Human","HA","H3N2","USA","N","2010/08/06","Influenza A virus (A/Alaska/03/2010(H3N2))","","","","","","c"
"AGF68883","252","Human","M1","H3N2","USA","N","2010/08/06","Influenza A virus (A/Alaska/03/2010(H3N2))","S31N","","","","","c"
"AGF68885","469","Human","NA","H3N2","USA","N","2010/08/06","Influenza A virus (A/Alaska/03/2010(H3N2))","","","","","","c"
"AGL06725","566","Human","HA","H3N2","USA","N","2012/01/13","Influenza A virus (A/Alaska/03/2012(H3N2))","","","","","","c"
"AGL06726","469","Human","NA","H3N2","USA","N","2012/01/13","Influenza A virus (A/Alaska/03/2012(H3N2))","","","","","","c"
"AIM39614","469","Human","NA","H1N1","USA","N","2014/02/01","Influenza A virus (A/Alaska/03/2014(H1N1))","","","","","","c"
"APB91188","759","Human","PB2","H3N2","USA","N","2015/02/13","Influenza A virus (A/Alaska/03/2015(H3N2))","E627K","","","","","c"
"APB91189","757","Human","PB1","H3N2","USA","N","2015/02/13","Influenza A virus (A/Alaska/03/2015(H3N2))","","","","","","c"
"APB91190","90","Human","PB1-F2","H3N2","USA","N","2015/02/13","Influenza A virus (A/Alaska/03/2015(H3N2))","","","","","","c"
"APB91191","566","Human","HA","H3N2","USA","N","2015/02/13","Influenza A virus (A/Alaska/03/2015(H3N2))","","","","","","c"
"ANM87365","759","Human","PB2","H1N1","USA","N","2016/01/18","Influenza A virus (A/Alaska/03/2016(H1N1))","","","","","","c"
"ANM87374","219","Human","NS1","H1N1","USA","N","2016/01/18","Influenza A virus (A/Alaska/03/2016(H1N1))","","","","","","c"
"AQW35981","469","Human","NA","H3N2","USA","N","2017/01/23","Influenza A virus (A/Alaska/03/2017(H3N2))","","","","","","c"
"AQW35984","230","Human","NS1","H3N2","USA","N","2017/01/23","Influenza A virus (A/Alaska/03/2017(H3N2))","","","","","","c"
"AVR40539","757","Human","PB1","H1N1","USA","N","2018/01/21","Influenza A virus (A/Alaska/03/2018(H1N1))","","","","","","c"
"AVR40551","498","Human","NP","H1N1","USA","N","2018/01/21","Influenza A virus (A/Alaska/03/2018(H1N1))","","","","","","c"
"QIZ31876","566","Human","","H1N1","USA","N","2020/02/03","Influenza A virus (A/Alaska/03/2020)","","","","","","c"
"ACJ73747","469","Human","NA","H3N2","USA","N","2008/08/09","Influenza A virus (A/Alaska/04/2008(H3N2))","","","","","","c"
"ACJ73748","566","Human","HA","H3N2","USA","N","2008/08/09","Influenza A virus (A/Alaska/04/2008(H3N2))","","","","","","c"
"ACT36649","566","Human","HA","H1N1","USA","N","2009/05","Influenza A virus (A/Alaska/04/2009(H1N1))","","","","","","c"
"AGK73966","566","Human","HA","H3N2","USA","N","2010/09/01","Influenza A virus (A/Alaska/04/2010(H3N2))","","","","","","c"
"AGL06250","252","Human","M1","H3N2","USA","N","2012/05/14","Influenza A virus (A/Alaska/04/2012(H3N2))","S31N","","","","","c"
"AGL06443","469","Human","NA","H3N2","USA","N","2012/05/14","Influenza A virus (A/Alaska/04/2012(H3N2))","","","","","","c"
"AGL06690","566","Human","HA","H3N2","USA","N","2012/05/14","Influenza A virus (A/Alaska/04/2012(H3N2))","","","","","","c"
"AGZ61102","566","Human","HA","H3N2","USA","N","2012/05/14","Influenza A virus (A/Alaska/04/2012(H3N2))","","","","","","c"
"AGZ61242","469","Human","NA","H3N2","USA","N","2013/04/24","Influenza A virus (A/Alaska/04/2013(H3N2))","","","","","","c"
"AGZ61508","566","Human","HA","H3N2","USA","N","2013/04/24","Influenza A virus (A/Alaska/04/2013(H3N2))","","","","","","c"
"AQW35963","757","Human","PB1","H3N2","USA","N","2017/01/24","Influenza A virus (A/Alaska/04/2017(H3N2))","","","","","","c"
"AQW35972","230","Human","NS1","H3N2","USA","N","2017/01/24","Influenza A virus (A/Alaska/04/2017(H3N2))","","","","","","c"
"QBP38220","252","Human","PA-X","H3N2","USA","N","2019/01/12","Influenza A virus (A/Alaska/04/2019)","","","","","","c"
"QBP38221","566","Human","HA","H3N2","USA","N","2019/01/12","Influenza A virus (A/Alaska/04/2019)","","","","","","c"
"ACA33696","566","Human","HA","H3N2","USA","N","2007/03/20","Influenza A virus (A/Alaska/05/2007(H3N2))","","","","","","c"
"AGK73558","252","Human","M1","H3N2","USA","N","2010/12/08","Influenza A virus (A/Alaska/05/2010(H3N2))","S31N","","","","","c"
"AGK73561","566","Human","HA","H3N2","USA","N","2010/12/08","Influenza A virus (A/Alaska/05/2010(H3N2))","","","","","","c"
"AGK74009","566","Human","HA","H3N2","USA","N","2010/12/08","Influenza A virus (A/Alaska/05/2010(H3N2))","","","","","","c"
"AGZ61491","566","Human","HA","H3N2","USA","N","2013/04/23","Influenza A virus (A/Alaska/05/2013(H3N2))","","","","","","c"
"ANM99666","97","Human","M2","H3N2","USA","N","2016/01/31","Influenza A virus (A/Alaska/05/2016(H3N2))","S31N","","","","","c"
"ANM99667","230","Human","NS1","H3N2","USA","N","2016/01/31","Influenza A virus (A/Alaska/05/2016(H3N2))","","","","","","c"
"AQZ37663","566","Human","HA","H3N2","USA","N","2017/02/09","Influenza A virus (A/Alaska/05/2017(H3N2))","","","","","","c"
"AVX28611","716","Human","PA","H1N1","USA","N","2018/02/02","Influenza A virus (A/Alaska/05/2018(H1N1))","","","","","","c"
"AVX28613","566","Human","","H1N1","USA","N","2018/02/02","Influenza A virus (A/Alaska/05/2018(H1N1))","","","","","","c"
"AVX28615","469","Human","NA","H1N1","USA","N","2018/02/02","Influenza A virus (A/Alaska/05/2018(H1N1))","","","","","","c"
"QBP37547","469","Human","NA","H1N1","USA","N","2019/01/15","Influenza A virus (A/Alaska/05/2019)","","","","","","p"
"ABW23361","566","Human","HA","H3N2","USA","N","2007/03/08","Influenza A virus (A/Alaska/06/2007(H3N2))","","","","","","c"
"ACA33615","469","Human","NA","H3N2","USA","N","2007/03/08","Influenza A virus (A/Alaska/06/2007(H3N2))","","","","","","c"
"AGZ60508","469","Human","NA","H3N2","USA","N","2013/05/21","Influenza A virus (A/Alaska/06/2013(H3N2))","","","","","","c"
"ANM99647","90","Human","PB1-F2","H3N2","USA","N","2016/01/23","Influenza A virus (A/Alaska/06/2016(H3N2))","","","","","","c"
"AQZ37670","759","Human","PB2","H3N2","USA","N","2017/02/09","Influenza A virus (A/Alaska/06/2017(H3N2))","E627K","","","","","c"
"AIM39391","469","Human","NA","H1N1","USA","N","2013/06/23","Influenza A virus (A/Alaska/07/2013(H1N1))","","","","","","c"
"AIM39724","566","Human","HA","H1N1","USA","N","2014/04/18","Influenza A virus (A/Alaska/07/2014(H1N1))","","","","","","c"
"ANM88358","498","Human","NP","H1N1","USA","N","2016/01/30","Influenza A virus (A/Alaska/07/2016(H1N1))","","","","","","c"
"AQZ37682","759","Human","PB2","H1N1","USA","N","2017/02/13","Influenza A virus (A/Alaska/07/2017(H1N1))","","","","","","c"
"AQZ37687","498","Human","NP","H1N1","USA","N","2017/02/13","Influenza A virus (A/Alaska/07/2017(H1N1))","","","","","","c"
"AVX28625","498","Human","NP","H1N1","USA","N","2018/02/08","Influenza A virus (A/Alaska/07/2018(H1N1))","","","","","","c"
"QBP37561","252","Human","M1","H1N1","USA","N","2019/01/15","Influenza A virus (A/Alaska/07/2019)","S31N","","","","","p"
"AGK72600","566","Human","HA","H1N1","USA","N","2011/01/14","Influenza A virus (A/Alaska/08/2011(H1N1))","","","","","","c"
"AKT08091","469","Human","NA","H1N1","USA","N","2013/10/14","Influenza A virus (A/Alaska/08/2013(H1N1))","","","","","","c"
"AKT08192","97","Human","M2","H1N1","USA","N","2013/10/14","Influenza A virus (A/Alaska/08/2013(H1N1))","S31N","","","","","c"
"AIU46398","566","Human","HA","H3","USA","N","2014/05/13","Influenza A virus (A/Alaska/08/2014(H3))","","","","","","c"
"ANM89312","716","Human","PA","H1N1","USA","N","2016/02/07","Influenza A virus (A/Alaska/08/2016(H1N1))","","","","","","c"
"ANM89317","252","Human","M1","H1N1","USA","N","2016/02/07","Influenza A virus (A/Alaska/08/2016(H1N1))","S31N","","","","","c"
"ARB17630","759","Human","PB2","H3N2","USA","N","2017/02/13","Influenza A virus (A/Alaska/08/2017(H3N2))","E627K","","","","","c"
"ARB17632","90","Human","PB1-F2","H3N2","USA","N","2017/02/13","Influenza A virus (A/Alaska/08/2017(H3N2))","","","","","","c"
"ASU07069","566","Human","HA","H3N2","USA","N","2017/02/13","Influenza A virus (A/Alaska/08/2017(H3N2))","","","","","","c"
"ASU07071","469","Human","NA","H3N2","USA","N","2017/02/13","Influenza A virus (A/Alaska/08/2017(H3N2))","","","","","","c"
"AXA18544","566","Human","HA","H3N2","USA","N","2018/02/10","Influenza A virus (A/Alaska/08/2018)","","","","","","c"
"AZK12016","469","Human","NA","H3N2","USA","N","2018/02/10","Influenza A virus (A/Alaska/08/2018)","","","","","","c"
"QBQ86151","232","Human","PA-X","H1N1","USA","N","2019/01/22","Influenza A virus (A/Alaska/08/2019)","","","","","","c"
"AGK72874","566","Human","HA","H1N1","USA","N","2011/02/06","Influenza A virus (A/Alaska/09/2011(H1N1))","","","","","","c"
"AGK73346","252","Human","M1","H1N1","USA","N","2011/02/06","Influenza A virus (A/Alaska/09/2011(H1N1))","S31N","","","","","c"
"ALH36590","757","Human","PB1","H3N2","USA","N","2015/04/18","Influenza A virus (A/Alaska/09/2015(H3N2))","","","","","","c"
"ALH36652","716","Human","PA","H3N2","USA","N","2015/04/18","Influenza A virus (A/Alaska/09/2015(H3N2))","","","","","","c"
